stage,delay_ps
0,200
1,400
2,600
3,800
4,1000
5,1200
6,1400
7,1600
8,1800
9,2000
10,2200
11,2400
12,2600
13,2800
14,3000
15,3200
16,3400
17,3600
18,3800
19,4000
20,4200
21,4400
22,4600
23,4800
24,5000
25,5200
26,5400
27,5600
28,5800
29,6000
30,6200
31,6400
32,6600
33,6800
34,7000
35,7200
36,7400
37,7600
38,7800
39,8000
40,8200
41,8400
42,8600
43,8800
44,9000
45,9200
46,9400
47,9600
48,9800
49,10000
50,10200
51,10400
52,10600
53,10800
54,11000
55,11200
56,11400
57,11600
58,11800
59,12000
60,12200
61,12400
62,12600
63,12800
