time_ps,clk_in,clk_out,t_in_edge_ps,t_out_edge_ps,up,down,shift_left,shift_right,ctrl,phase_err_ps
25000,1,x,25000,0,0,0,0,0,0,0
35000,1,1,35000,30600,1,1,0,0,0,5600
45000,1,1,45000,40600,0,1,0,0,0,5600
55000,1,1,55000,50600,1,0,0,0,0,5600
65000,1,1,65000,60600,1,1,1,0,1,5600
75000,1,1,75000,70600,0,1,0,0,1,5600
85000,1,1,85000,80600,1,0,0,1,0,5600
95000,1,1,95000,90600,1,1,1,0,1,5600
105000,1,1,105000,100600,0,1,0,0,1,5600
115000,1,1,115000,110400,1,0,0,1,0,5400
125000,1,1,125000,120600,1,1,1,0,1,5600
135000,1,1,135000,130600,0,1,0,0,1,5600
145000,1,1,145000,140400,1,0,0,1,0,5400
155000,1,1,155000,150600,1,1,1,0,1,5600
165000,1,1,165000,160600,0,1,0,0,1,5600
175000,1,1,175000,170400,1,0,0,1,0,5400
185000,1,1,185000,180600,1,1,1,0,1,5600
195000,1,1,195000,190600,0,1,0,0,1,5600
205000,1,1,205000,200400,1,0,0,1,0,5400
215000,1,1,215000,210600,1,1,1,0,1,5600
225000,1,1,225000,220600,0,1,0,0,1,5600
235000,1,1,235000,230400,1,0,0,1,0,5400
245000,1,1,245000,240600,1,1,1,0,1,5600
255000,1,1,255000,250600,0,1,0,0,1,5600
265000,1,1,265000,260400,1,0,0,1,0,5400
275000,1,1,275000,270600,1,1,1,0,1,5600
285000,1,1,285000,280600,0,1,0,0,1,5600
295000,1,1,295000,290400,1,0,0,1,0,5400
305000,1,1,305000,300600,1,1,1,0,1,5600
315000,1,1,315000,310600,0,1,0,0,1,5600
325000,1,1,325000,320400,1,0,0,1,0,5400
335000,1,1,335000,330600,1,1,1,0,1,5600
345000,1,1,345000,340600,0,1,0,0,1,5600
355000,1,1,355000,350400,1,0,0,1,0,5400
365000,1,1,365000,360600,1,1,1,0,1,5600
375000,1,1,375000,370600,0,1,0,0,1,5600
385000,1,1,385000,380400,1,0,0,1,0,5400
395000,1,1,395000,390600,1,1,1,0,1,5600
405000,1,1,405000,400600,0,1,0,0,1,5600
415000,1,1,415000,410400,1,0,0,1,0,5400
425000,1,1,425000,420600,1,1,1,0,1,5600
435000,1,1,435000,430600,0,1,0,0,1,5600
445000,1,1,445000,440400,1,0,0,1,0,5400
455000,1,1,455000,450600,1,1,1,0,1,5600
465000,1,1,465000,460600,0,1,0,0,1,5600
475000,1,1,475000,470400,1,0,0,1,0,5400
485000,1,1,485000,480600,1,1,1,0,1,5600
495000,1,1,495000,490600,0,1,0,0,1,5600
505000,1,1,505000,500400,1,0,0,1,0,5400
515000,1,1,515000,510600,1,1,1,0,1,5600
